Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées,Densite de la Station
8053,Place Georges Guillaumin,OUI,26,23,3,0,3,OUI,OUI,2025-03-13T06:00:56+00:00,"48.874750203957, 2.301771435326",Paris,75056,0.11538461538461539
31103,Gare Rosny-Bois-Perrier,OUI,32,15,17,0,17,OUI,OUI,2025-03-13T05:56:13+00:00,"48.88115023337061, 2.480436824262142",Rosny-sous-Bois,93064,0.53125
19015,Thionville - Ourcq,OUI,21,21,0,0,0,OUI,OUI,2025-03-13T06:00:37+00:00,"48.88917613743794, 2.3833653330802917",Paris,75056,0.0
18203,Lamarck - Saint-Ouen,OUI,40,40,0,0,0,NON,NON,2025-03-13T05:55:19+00:00,"48.891334555236, 2.3272445342326",Paris,75056,0.0
9022,Rossini - Laffitte,OUI,33,30,3,1,2,OUI,OUI,2025-03-13T05:58:35+00:00,"48.87334627510507, 2.337980867701675",Paris,75056,0.09090909090909091
21323,Charlot - Stade Gabriel Voisin,OUI,31,8,23,21,2,OUI,OUI,2025-03-13T06:00:48+00:00,"48.827228120536, 2.268122527474",Issy-les-Moulineaux,92040,0.7419354838709677
26003,Argenteuil - Voltaire,OUI,16,9,7,2,5,OUI,OUI,2025-03-13T05:59:12+00:00,"48.91864865955558, 2.2814112156629562",Asnières-sur-Seine,92004,0.4375
9014,Faubourg Montmartre - La Fayette,OUI,34,21,13,10,3,OUI,OUI,2025-03-13T06:00:16+00:00,"48.875254549053, 2.3408536612988",Paris,75056,0.38235294117647056
19003,Quai de la Seine,OUI,23,15,8,2,6,OUI,OUI,2025-03-13T05:56:56+00:00,"48.884492238407525, 2.3703941702842717",Paris,75056,0.34782608695652173
9106,Boudreau - Auber,OUI,27,25,2,1,1,OUI,OUI,2025-03-13T06:00:25+00:00,"48.87219, 2.329423",Paris,75056,0.07407407407407407
10107,Gare du Nord - Hôpital Lariboisière,OUI,49,46,3,2,1,OUI,OUI,2025-03-13T05:56:17+00:00,"48.881949, 2.352339",Paris,75056,0.061224489795918366
19105,Ambroise Rendu - Porte Brunet,OUI,17,13,4,1,3,OUI,OUI,2025-03-13T05:53:17+00:00,"48.883667, 2.395733",Paris,75056,0.23529411764705882
26002,Redoute - Les Courtilles,OUI,37,5,32,15,17,OUI,OUI,2025-03-13T06:00:31+00:00,"48.929867194519, 2.2836696356535",Asnières-sur-Seine,92004,0.8648648648648649
31706,Château - République,OUI,25,16,9,2,7,OUI,OUI,2025-03-13T06:00:18+00:00,"48.862923800596, 2.4155035614967",Bagnolet,93006,0.36
17043,Belidor - Gouvion-Saint-Cyr,OUI,38,26,12,11,1,OUI,OUI,2025-03-13T05:59:48+00:00,"48.88022154052015, 2.2854680567979813",Paris,75056,0.3157894736842105
22409,Henri Barbusse - Stalingrad,OUI,16,11,5,1,4,OUI,OUI,2025-03-13T06:00:52+00:00,"48.814183748660554, 2.2872862592339516",Malakoff,92046,0.3125
16039,Exelmans - Versailles,OUI,48,7,41,33,8,OUI,OUI,2025-03-13T05:59:18+00:00,"48.84097491091973, 2.264390252530575",Paris,75056,0.8541666666666666
17004,Legendre - Clichy,OUI,39,24,15,10,5,OUI,OUI,2025-03-13T05:59:33+00:00,"48.88896161855884, 2.322528975094376",Paris,75056,0.38461538461538464
11023,Saint-Maur - Roquette,OUI,46,24,22,20,2,OUI,OUI,2025-03-13T05:58:24+00:00,"48.858688774062955, 2.383553994571467",Paris,75056,0.4782608695652174
12151,Gare de Lyon - Place Louis Armand,OUI,58,5,53,31,22,OUI,OUI,2025-03-13T05:55:15+00:00,"48.845515089794, 2.3726498446286",Paris,75056,0.9137931034482759
11002,Roquette - Thiéré,OUI,22,5,17,16,1,OUI,OUI,2025-03-13T06:00:52+00:00,"48.85507930579506, 2.3733686318721463",Paris,75056,0.7727272727272727
5020,Institut du Monde Arabe - Saint-Germain,OUI,40,13,27,24,3,OUI,OUI,2025-03-13T06:00:06+00:00,"48.849063299501, 2.3558086529374",Paris,75056,0.675
8034,Berri - Haussmann,OUI,34,31,3,2,1,OUI,OUI,2025-03-13T05:56:45+00:00,"48.874746047357135, 2.3082953318953514",Paris,75056,0.08823529411764706
92007,Pesaro - Préfecture,OUI,21,20,1,1,0,OUI,OUI,2025-03-13T05:58:35+00:00,"48.89577046284005, 2.223908342421055",Nanterre,92050,0.047619047619047616
5032,Panthéon - Valette,OUI,39,24,15,2,13,OUI,OUI,2025-03-13T05:56:34+00:00,"48.847020571652, 2.3464982619671",Paris,75056,0.38461538461538464
16026,Ranelagh - Mozart,OUI,7,5,2,0,2,OUI,OUI,2025-03-13T05:57:39+00:00,"48.8554439, 2.2704418",Paris,75056,0.2857142857142857
